Namespace(batchsize=8, epoch=80, gpu='0', learning_rate=0.0001, optimizer='Adam', workers=1)
epoch:0	 iter:1999/2000	 gpts loss:0.493	 depth loss:0.013	quat loss:0.446	 joint loss:0.089	 total loss:1.041	 TP:460	 FP:1041	TN:516	 FN:28	 acc:0.477	 p:0.306	r:0.942	 F1:0.224	 depth acc:0.427	 quat acc:0.123
epoch:1	 iter:1999/2000	 gpts loss:0.393	 depth loss:0.000	quat loss:0.235	 joint loss:0.033	 total loss:0.662	 TP:467	 FP:822	TN:735	 FN:22	 acc:0.588	 p:0.359	r:0.933	 F1:0.255	 depth acc:0.975	 quat acc:0.206
epoch:2	 iter:1999/2000	 gpts loss:0.386	 depth loss:0.000	quat loss:0.182	 joint loss:0.032	 total loss:0.601	 TP:468	 FP:813	TN:744	 FN:21	 acc:0.592	 p:0.363	r:0.936	 F1:0.257	 depth acc:0.989	 quat acc:0.245
epoch:3	 iter:1999/2000	 gpts loss:0.382	 depth loss:0.000	quat loss:0.151	 joint loss:0.032	 total loss:0.565	 TP:469	 FP:810	TN:747	 FN:20	 acc:0.594	 p:0.365	r:0.939	 F1:0.259	 depth acc:0.995	 quat acc:0.263
epoch:4	 iter:1999/2000	 gpts loss:0.379	 depth loss:0.000	quat loss:0.131	 joint loss:0.032	 total loss:0.542	 TP:470	 FP:808	TN:749	 FN:19	 acc:0.596	 p:0.367	r:0.941	 F1:0.260	 depth acc:0.997	 quat acc:0.277
epoch:5	 iter:1999/2000	 gpts loss:0.377	 depth loss:0.000	quat loss:0.116	 joint loss:0.032	 total loss:0.525	 TP:470	 FP:806	TN:751	 FN:19	 acc:0.597	 p:0.366	r:0.942	 F1:0.260	 depth acc:0.998	 quat acc:0.286
epoch:6	 iter:1999/2000	 gpts loss:0.377	 depth loss:0.000	quat loss:0.106	 joint loss:0.032	 total loss:0.514	 TP:470	 FP:805	TN:752	 FN:19	 acc:0.597	 p:0.367	r:0.942	 F1:0.260	 depth acc:0.998	 quat acc:0.294
epoch:7	 iter:1999/2000	 gpts loss:0.375	 depth loss:0.000	quat loss:0.097	 joint loss:0.032	 total loss:0.504	 TP:470	 FP:804	TN:753	 FN:18	 acc:0.598	 p:0.367	r:0.944	 F1:0.260	 depth acc:0.999	 quat acc:0.301
epoch:8	 iter:1999/2000	 gpts loss:0.373	 depth loss:0.000	quat loss:0.090	 joint loss:0.032	 total loss:0.495	 TP:471	 FP:803	TN:754	 FN:18	 acc:0.598	 p:0.368	r:0.945	 F1:0.261	 depth acc:0.999	 quat acc:0.306
epoch:9	 iter:1999/2000	 gpts loss:0.372	 depth loss:0.000	quat loss:0.082	 joint loss:0.032	 total loss:0.486	 TP:471	 FP:802	TN:755	 FN:18	 acc:0.599	 p:0.368	r:0.945	 F1:0.261	 depth acc:0.998	 quat acc:0.315
epoch:10	 iter:1999/2000	 gpts loss:0.372	 depth loss:0.000	quat loss:0.077	 joint loss:0.031	 total loss:0.480	 TP:471	 FP:801	TN:756	 FN:18	 acc:0.600	 p:0.369	r:0.945	 F1:0.261	 depth acc:0.999	 quat acc:0.319
epoch:11	 iter:1999/2000	 gpts loss:0.371	 depth loss:0.000	quat loss:0.072	 joint loss:0.031	 total loss:0.475	 TP:471	 FP:800	TN:757	 FN:18	 acc:0.600	 p:0.368	r:0.945	 F1:0.261	 depth acc:0.998	 quat acc:0.324
epoch:12	 iter:1999/2000	 gpts loss:0.371	 depth loss:0.000	quat loss:0.068	 joint loss:0.031	 total loss:0.470	 TP:471	 FP:800	TN:757	 FN:18	 acc:0.600	 p:0.369	r:0.946	 F1:0.261	 depth acc:0.999	 quat acc:0.327
epoch:13	 iter:1999/2000	 gpts loss:0.369	 depth loss:0.000	quat loss:0.065	 joint loss:0.031	 total loss:0.465	 TP:471	 FP:798	TN:759	 FN:18	 acc:0.601	 p:0.370	r:0.947	 F1:0.262	 depth acc:0.999	 quat acc:0.330
